AT,V,AP,RH,PE_pred
22.49,58.82,1009.73,85.19,443.8
28.88,54.89,1007.16,46.6,437.85
27.89,73.21,1001.32,85.88,432.53
25.69,62.26,1011.38,74.08,440.7
12.16,40.81,1025.79,70.97,473.43
22.72,62.4,1010.28,80.79,443.8
20.6,60.08,1017.84,75.92,450.59
7.51,41.01,1024.61,97.41,478.62
14.28,39.39,1013.82,77.52,469.92
11.68,40.23,1018.49,83.43,473.06
19.89,44.9,1008.12,67.3,452.33
9.44,43.99,1020.31,98.06,471.88
20.76,58.79,1017.22,78.75,450.59
30.0,61.5,1009.4,48.63,438.36
31.38,70.83,1010.35,47.28,434.03
32.95,67.9,1005.88,45.15,431.71
21.01,58.96,1014.33,61.8,450.59
14.56,53.82,1016.37,64.46,463.49
21.11,69.94,1004.37,84.26,441.22
29.73,73.06,1010.27,84.84,433.29
28.28,68.67,1006.36,69.9,434.07
12.31,40.64,1020.71,94.6,472.4
8.05,40.8,1028.01,89.56,475.67
30.35,77.17,1009.55,63.62,433.29
18.12,43.69,1016.91,52.95,463.95
25.23,58.82,1010.9,70.47,443.75
28.38,64.05,1010.19,71.84,437.87
26.63,73.68,1015.15,85.13,433.09
26.78,52.3,1008.52,61.23,442.71
22.69,58.46,1017.74,75.21,444.36
7.49,39.81,1019.03,87.29,483.92
14.08,40.73,1017.52,91.49,465.36
26.11,70.36,1007.64,70.12,434.07
24.26,61.02,1009.78,76.68,443.0
27.44,66.56,1005.51,69.28,431.71
23.17,62.39,1008.04,89.42,442.7
15.27,38.73,1002.83,77.77,464.23
12.1,44.77,1019.1,75.85,469.63
26.73,77.95,1012.31,78.35,433.09
11.49,35.76,1019.08,60.04,470.21
19.64,46.33,1013.33,98.99,452.11
21.12,47.24,1003.79,70.55,452.15
8.03,37.8,1020.47,60.67,481.57
31.18,74.34,1003.81,63.59,434.82
18.15,45.01,1013.06,72.4,453.96
24.14,63.21,1012.28,89.08,443.0
19.1,56.53,1020.18,76.38,456.53
21.27,57.5,1014.53,80.76,448.82
18.2,45.01,1013.82,68.14,453.96
17.8,46.48,1007.27,81.31,454.73
10.59,41.93,1017.7,92.91,476.28
19.69,56.65,1020.79,66.94,456.53
13.41,40.89,1010.85,89.61,471.23
17.37,41.23,998.79,68.44,461.75
14.09,44.47,1029.08,72.36,470.95
26.94,62.91,1011.68,41.3,442.36
31.87,70.94,1006.94,50.78,434.07
20.75,60.77,1017.91,86.06,446.09
12.56,43.41,1016.93,81.02,469.63
11.08,38.16,1014.45,74.99,476.68
23.62,68.63,1013.18,50.57,442.2
27.01,71.25,1000.46,87.95,432.53
19.48,39.72,1001.75,55.41,457.56
21.11,58.49,1011.6,80.44,448.82
29.22,72.39,1000.87,77.39,432.53
22.35,65.61,1016.27,73.93,449.22
10.11,42.49,1010.22,82.11,478.3
25.82,61.08,1013.64,66.4,443.75
17.72,48.14,1013.26,65.09,456.46
19.13,50.78,1008.51,87.54,448.45
29.01,66.44,1011.21,71.56,433.09
16.14,44.21,1020.36,80.59,463.5
14.64,42.77,1017.59,79.6,463.95
23.08,74.78,1009.85,83.67,438.28
13.97,41.16,1020.88,74.88,465.36
16.74,41.16,1006.87,74.24,461.75
22.51,59.21,1018.35,71.97,444.36
13.32,43.22,1009.45,75.3,469.63
19.09,66.51,1015.11,76.38,454.33
19.51,44.05,1008.52,78.38,452.33
31.74,72.25,1012.21,41.62,438.94
13.73,41.78,1011.75,49.65,466.54
19.78,54.42,1011.74,89.34,457.1
21.19,58.86,1014.19,68.96,450.59
5.65,40.72,1022.46,85.17,487.91
17.9,48.98,1014.17,80.4,453.96
18.4,43.69,1016.59,52.44,463.95
17.51,39.54,1010.22,71.53,461.75
6.84,41.06,1021.04,89.59,487.91
11.05,40.71,1024.91,76.42,479.73
17.01,49.15,1021.83,84.02,460.57
29.83,62.66,1007.98,47.07,438.36
21.39,64.27,1011.71,95.39,445.54
8.77,40.46,1019.68,77.84,480.98
6.34,40.64,1020.62,94.39,480.4
26.35,69.48,1008.45,70.47,434.07
11.78,39.96,1011.37,82.95,477.5
5.62,41.38,1020.91,86.21,487.91
24.96,74.99,1008.25,80.52,435.69
9.48,40.8,1023.82,78.98,478.3
