sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0084,0.9567,0.0349
6.9,3.1,5.1,2.3,virginica,0.0145,0.0305,0.955
5.1,2.5,3.0,1.1,versicolor,0.0353,0.9432,0.0214
4.4,2.9,,0.2,setosa,0.4731,0.4164,0.1105
5.9,3.0,5.1,1.8,virginica,0.0136,0.2169,0.7695
5.5,3.5,1.3,0.2,setosa,0.9536,0.0255,0.0209
5.6,,3.6,1.3,versicolor,0.0359,0.9515,0.0125
6.5,3.0,5.2,2.0,virginica,0.0106,0.0476,0.9418
5.3,3.7,1.5,0.2,setosa,0.9582,0.0232,0.0187
5.1,3.4,1.5,,setosa,0.7536,0.1773,0.0691
6.1,2.8,4.0,1.3,versicolor,0.0125,0.9775,0.01
5.5,2.4,3.7,1.0,versicolor,0.0152,0.971,0.0138
7.7,3.0,6.1,2.3,virginica,0.0257,0.0321,0.9421
6.9,3.1,4.9,1.5,versicolor,0.02,0.7316,0.2484
6.0,2.2,5.0,1.5,virginica,0.0223,0.4645,0.5132
