id,loan_status,aproval_prob
58645,1,0.9916
58646,0,0.0196
58647,1,0.5938
58648,0,0.0127
58649,0,0.0702
58650,1,0.9292
58651,0,0.0027
58652,0,0.0105
58653,0,0.2699
58654,0,0.014
58655,0,0.1029
58656,0,0.1213
58657,0,0.0098
58658,0,0.0076
58659,0,0.0208
58660,0,0.0785
58661,0,0.0094
58662,0,0.0016
58663,0,0.0399
58664,0,0.0044
58665,0,0.0241
58666,0,0.0122
58667,0,0.0045
58668,0,0.0073
58669,0,0.0097
58670,0,0.0016
58671,0,0.2301
58672,0,0.0051
58673,1,0.8828
58674,0,0.0016
58675,0,0.0105
58676,0,0.291
58677,0,0.0402
58678,0,0.0058
58679,0,0.3205
58680,1,0.9638
58681,0,0.0241
58682,0,0.0014
58683,0,0.0119
58684,0,0.2073
58685,0,0.1289
58686,0,0.0264
58687,0,0.409
58688,0,0.0975
58689,0,0.3407
58690,0,0.0015
58691,0,0.0183
58692,0,0.0277
58693,0,0.0087
58694,0,0.0203
58695,1,0.9665
58696,0,0.0151
58697,0,0.0561
58698,0,0.0175
58699,0,0.0132
58700,0,0.0091
58701,0,0.0071
58702,0,0.025
58703,0,0.1301
58704,0,0.3892
58705,0,0.1254
58706,0,0.0317
58707,0,0.0141
58708,0,0.0303
58709,1,0.947
58710,0,0.045
58711,1,0.9503
58712,0,0.0449
58713,0,0.0083
58714,0,0.0187
58715,0,0.0053
58716,0,0.2003
58717,0,0.0216
58718,0,0.0525
58719,0,0.0022
58720,0,0.0008
58721,0,0.0839
58722,0,0.073
58723,0,0.0202
58724,0,0.0618
58725,0,0.0213
58726,0,0.0159
58727,0,0.1027
58728,0,0.106
58729,0,0.0422
58730,0,0.0042
58731,0,0.0186
58732,0,0.2358
58733,0,0.0006
58734,0,0.0233
58735,0,0.0172
58736,0,0.0762
58737,0,0.0487
58738,1,0.9824
58739,0,0.0528
58740,1,0.9099
58741,0,0.0349
58742,0,0.0102
58743,0,0.0201
58744,0,0.007
58745,0,0.0128
58746,0,0.1737
58747,0,0.0067
58748,0,0.0108
58749,0,0.0279
58750,0,0.0132
58751,0,0.0492
58752,1,0.8561
58753,0,0.0034
58754,0,0.0892
58755,0,0.0974
58756,0,0.0136
58757,0,0.0171
58758,0,0.0062
58759,0,0.0057
58760,0,0.0014
58761,0,0.0112
58762,0,0.0043
58763,1,0.9423
58764,0,0.0057
58765,0,0.0306
58766,0,0.013
58767,0,0.0134
58768,1,0.9344
58769,0,0.0045
58770,0,0.0297
58771,0,0.0708
58772,0,0.0238
58773,0,0.0201
58774,0,0.0139
58775,1,0.9006
58776,1,0.6774
58777,0,0.0116
58778,0,0.0103
58779,0,0.026
58780,0,0.0152
58781,0,0.0164
58782,0,0.0596
58783,0,0.0285
58784,0,0.0099
58785,0,0.0062
58786,0,0.094
58787,0,0.0422
58788,0,0.1263
58789,0,0.0279
58790,0,0.0292
58791,0,0.08
58792,0,0.0009
58793,0,0.0427
58794,0,0.0114
58795,0,0.0239
58796,0,0.0197
58797,0,0.0154
58798,0,0.1018
58799,1,0.8183
58800,0,0.0288
58801,0,0.0034
58802,1,0.8926
58803,0,0.2867
58804,0,0.3314
58805,1,0.8958
58806,0,0.0513
58807,0,0.0228
58808,0,0.0229
58809,1,0.9447
58810,1,0.9161
58811,0,0.0217
58812,0,0.0422
58813,0,0.028
58814,0,0.0176
58815,0,0.0091
58816,0,0.0161
58817,0,0.0017
58818,0,0.0429
58819,0,0.0718
58820,0,0.0034
58821,0,0.0247
58822,0,0.006
58823,0,0.1251
58824,0,0.0469
58825,0,0.0013
58826,0,0.0908
58827,0,0.0406
58828,0,0.0033
58829,0,0.1393
58830,0,0.0145
58831,0,0.0297
58832,0,0.0183
58833,0,0.0099
58834,0,0.0115
58835,1,0.9579
58836,0,0.0468
58837,0,0.1227
58838,0,0.0089
58839,0,0.0015
58840,0,0.0088
58841,1,0.9616
58842,0,0.0036
58843,0,0.0196
58844,0,0.0655
58845,0,0.1478
58846,0,0.0015
58847,1,0.9412
58848,0,0.14
58849,0,0.2911
58850,0,0.0234
58851,0,0.0529
58852,0,0.2345
58853,0,0.0299
58854,1,0.9758
58855,0,0.1818
58856,0,0.0058
58857,0,0.0404
58858,0,0.1675
58859,0,0.0184
58860,0,0.0088
58861,0,0.0388
58862,0,0.1743
58863,0,0.2402
58864,0,0.0142
58865,0,0.4382
58866,0,0.0143
58867,0,0.0004
58868,0,0.0248
58869,0,0.009
58870,0,0.1037
58871,0,0.0067
58872,0,0.0127
58873,0,0.0128
58874,1,0.9696
58875,0,0.0129
58876,0,0.0087
58877,0,0.004
58878,0,0.026
58879,0,0.0072
58880,0,0.0236
58881,0,0.0216
58882,0,0.0024
58883,0,0.1462
58884,0,0.1416
58885,0,0.1492
58886,0,0.0025
58887,1,0.958
58888,0,0.3491
58889,1,0.9772
58890,0,0.0982
58891,0,0.323
58892,0,0.0254
58893,0,0.0275
58894,0,0.0438
58895,0,0.0035
58896,0,0.0055
58897,0,0.0286
58898,0,0.0893
58899,1,0.9578
58900,0,0.0099
58901,0,0.0388
58902,0,0.0961
58903,0,0.0053
58904,0,0.0474
58905,0,0.0062
58906,0,0.076
58907,0,0.0751
58908,0,0.0061
58909,0,0.0537
58910,0,0.0046
58911,0,0.0117
58912,0,0.0029
58913,0,0.2615
58914,0,0.0217
58915,0,0.0217
58916,0,0.012
58917,0,0.0289
58918,0,0.0119
58919,0,0.0064
58920,0,0.2894
58921,0,0.0072
58922,0,0.0349
58923,0,0.007
58924,0,0.0229
58925,0,0.0164
58926,0,0.1729
58927,0,0.0155
58928,0,0.095
58929,0,0.0023
58930,0,0.017
58931,1,0.9269
58932,1,0.8698
58933,0,0.4424
58934,0,0.0329
58935,0,0.015
58936,0,0.0307
58937,0,0.0119
58938,0,0.0185
58939,0,0.0061
58940,0,0.0135
58941,1,0.9722
58942,1,0.8815
58943,0,0.3844
58944,0,0.0142
58945,0,0.0276
58946,0,0.0261
58947,0,0.0193
58948,0,0.0372
58949,0,0.0109
58950,1,0.5041
58951,0,0.1755
58952,0,0.0079
58953,0,0.0208
58954,1,0.9728
58955,0,0.0194
58956,0,0.002
58957,1,0.9909
58958,1,0.9898
58959,0,0.0241
